,count,max,min
Hiccup,4,0.01,0.0
Electronica,6,0.01,0.01
Disco,2,0.01,0.01
House music,3,0.01,0.0
Exciting music,2,0.0,0.0
Tabla,4,0.03,0.01
Whip,15,0.22,0.01
Mechanical fan,1,0.12,0.12
Cupboard open or close,6,0.03,0.0
Frying (food),8,0.02,0.01
Pig,4,0.02,0.01
Steam whistle,25,0.36,0.01
Drawer open or close,7,0.05,0.0
Ocean,6,0.06,0.01
"Waves, surf",8,0.1,0.02
Rattle (instrument),4,0.01,0.01
Field recording,2,0.02,0.02
Accordion,5,0.1,0.01
Skidding,2,0.03,0.01
Hammer,14,0.03,0.0
Sad music,3,0.02,0.02
Bellow,2,0.03,0.01
Stream,6,0.05,0.01
Vacuum cleaner,3,0.13,0.01
"Water tap, faucet",4,0.06,0.02
Gush,10,0.03,0.01
Sanding,2,0.04,0.01
Babbling,1,0.02,0.02
Squish,7,0.04,0.01
Run,8,0.04,0.0
Sitar,14,0.08,0.01
Child singing,12,0.03,0.01
Blender,3,0.04,0.01
Patter,2,0.05,0.01
Clarinet,11,0.07,0.01
Swing music,8,0.01,0.0
Wind,4,0.03,0.01
Coo,7,0.02,0.0
Shuffling cards,7,0.02,0.01
Toilet flush,1,0.02,0.02
"Child speech, kid speaking",5,0.01,0.01
Classical music,5,0.01,0.01
Middle Eastern music,1,0.01,0.01
"Dishes, pots, and pans",5,0.02,0.01
Toothbrush,1,0.27,0.27
Cough,3,0.02,0.0
Crack,12,0.03,0.01
Funk,2,0.0,0.0
"Chewing, mastication",6,0.02,0.0
Snoring,3,0.08,0.01
Crushing,1,0.05,0.05
Dance music,1,0.0,0.0
Crowd,1,0.01,0.01
Applause,2,0.02,0.02
Helicopter,3,0.03,0.02
Hair dryer,1,0.05,0.05
Ska,1,0.0,0.0
Firecracker,1,0.02,0.02
Whoop,2,0.02,0.02
Yell,3,0.03,0.01
Engine starting,1,0.0,0.0
Sawing,2,0.05,0.01
Filing (rasp),3,0.12,0.01
"Dental drill, dentist's drill",1,0.02,0.02
Goat,5,0.02,0.01
Aircraft engine,3,0.03,0.01
A capella,1,0.01,0.01
Independent music,1,0.0,0.0
Sink (filling or washing),2,0.02,0.01
Wheeze,2,0.02,0.01
Basketball bounce,1,0.0,0.0
Hammond organ,1,0.01,0.01
Clickety-clack,1,0.01,0.01
"Subway, metro, underground",1,0.01,0.01
"Crying, sobbing",2,0.02,0.02
Tambourine,1,0.01,0.01
Mallet percussion,1,0.02,0.02
Snicker,1,0.01,0.01
Growling,1,0.01,0.01
Ship,1,0.0,0.0
Giggle,1,0.02,0.02
